Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL
1,A3EMVW,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,0,,,,
2,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,0,,,,
3,VE3KJG,146.640000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,0,,,,
4,VA3TEL,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,0,,,,
5,VE3FRG,146.805000,-,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,S,,0,,,,
6,VE3KBR,146.940000,-,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,0,,,,
7,SMPLX1,146.520000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,0,,,,
8,SMPLX2,146.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,0,,,,
9,SMPLX3,146.580000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,0,,,,
10,APRS,144.390000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,0,,,,
