Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3FOY,147.285000,+,0.600000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
2,VE3BNI,146.610000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
3,VE3WPR,147.000000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,V?3???,147.390000,+,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
5,VA3PLA,147.180000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,E3RTR1,145.150000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
7,E3RTR2,146.895000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
8,VE3MXR,444.975000,+,5.000000,Tone,162.2,162.2,023,NN,FM,6.25,S,,,,,
9,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,146520,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
