Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SET-A,003.675000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
2,SET-B,007.135000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
3,SET-C,014.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
4,SET-D,018.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
5,SET-E,021.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
6,SET-F,028.235000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
7,SET-G,003.535000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
8,SET-H,007.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
9,SET-I,014.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
10,SET-J,018.075000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
11,SET-K,021.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
12,SET-L,028.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
13,SET-M,003.596000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
14,SET-N,007.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
15,SET-O,014.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
16,SET-P,018.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
17,SET-Q,021.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
18,SET-R,028.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
