Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,PSET-A,003.675000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
2,PSET-B,007.135000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
3,PSET-C,014.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
4,PSET-D,018.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
5,PSET-E,021.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
6,PSET-F,028.235000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
7,CSET-G,003.535000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
8,CSET-H,007.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
9,CSET-I,014.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
10,CSET-J,018.075000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
11,CSET-K,021.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
12,CSET-L,028.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
13,DSET-M,003.596000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
14,DSET-N,007.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
15,DSET-O,014.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
16,DSET-P,018.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
17,DSET-Q,021.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
18,DSET-R,028.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
