Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
2,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
3,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
4,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
5,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
6,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
7,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,2.0 W,,,,
8,GMRS08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
9,GMRS09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
10,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
11,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
12,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
13,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
14,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,0.5 W,,,,
15,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
16,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
17,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
18,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
19,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
20,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
21,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
22,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,2.0 W,,,,
23,GMRS15R,462.550000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
24,GMRS16R,462.575000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
25,GMRS17R,462.600000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
26,GMRS18R,462.625000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
27,GMRS19R,462.650000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
28,GMRS20R,462.675000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
29,GMRS21R,462.700000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
30,GMRS22R,462.725000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,,US only,,,,
