Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
2,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
3,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
4,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
5,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
6,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
7,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
8,FRS08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
9,FRS09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
10,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
11,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
12,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
13,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
14,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,Bandwidth: 12.5;Power: Low;RxOnly: On,,,,
15,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
16,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
17,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
18,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
19,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
20,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
21,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
22,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: Mid;RxOnly: On,,,,
23,GMRS15R,467.550000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
24,GMRS16R,467.575000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
25,GMRS17R,467.600000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
26,GMRS18R,467.625000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
27,GMRS19R,467.650000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
28,GMRS20R,467.675000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
29,GMRS21R,467.700000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
30,GMRS22R,467.725000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,Bandwidth: 20;Power: High;RxOnly: On,,,,
