Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,LPD01,433.075000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
2,LPD02,433.100000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
3,LPD03,433.125000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
4,LPD04,433.150000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
5,LPD05,433.175000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
6,LPD06,433.200000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
7,LPD07,433.225000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
8,LPD08,433.250000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
9,LPD09,433.275000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
10,LPD10,433.300000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
11,LPD11,433.325000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
12,LPD12,433.350000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
13,LPD13,433.375000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
14,LPD14,433.400000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
15,LPD15,433.425000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
16,LPD16,433.450000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
17,LPD17,433.475000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
18,LPD18,433.500000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
19,LPD19,433.525000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
20,LPD20,433.550000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
21,LPD21,433.575000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
22,LPD22,433.600000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
23,LPD23,433.625000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
24,LPD24,433.650000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
25,LPD25,433.675000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
26,LPD26,433.700000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
27,LPD27,433.725000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
28,LPD28,433.750000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
29,LPD29,433.775000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
30,LPD30,433.800000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
31,LPD31,433.825000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
32,LPD32,433.850000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
33,LPD33,433.875000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
34,LPD34,433.900000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
35,LPD35,433.925000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
36,LPD36,433.950000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
37,LPD37,433.975000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
38,LPD38,434.000000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
39,LPD39,434.025000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
40,LPD40,434.050000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
41,LPD41,434.075000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
42,LPD42,434.100000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
43,LPD43,434.125000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
44,LPD44,434.150000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
45,LPD45,434.175000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
46,LPD46,434.200000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
47,LPD47,434.225000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
48,LPD48,434.250000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
49,LPD49,434.275000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
50,LPD50,434.300000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
51,LPD51,434.325000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
52,LPD52,434.350000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
53,LPD53,434.375000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
