Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,BBLOW1,27.490000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,BBLOW2,27.510000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,BBLOW3,27.555000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,BBLOW4,30.840000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,BBLOW5,33.120000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,BBLOW6,33.140000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,BBLOW7,33.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,BBLOW8,35.020000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,BBLOW9,35.040000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,BBLOWA,42.980000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,BBLOWB,43.040000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,BBITN1,151.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,BBITN2,151.512500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,REDDOT,151.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,BBITN4,151.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,BBITN5,151.760000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,PPLDOT,151.955000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,BB1,154.515000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,BB2,154.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,BLUDOT,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,MURS4B,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,GRNDOT,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,MURS5G,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,BBITN5,158.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,BBITN6,158.407500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,WHTDOT,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
30,BLKDOT,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
31,ORGDOT,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
32,BRNDOT,464.500000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
33,YLWDOT,464.550000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
34,SILSTR,467.850000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
35,GOLSTR,467.875000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
36,REDSTR,467.900000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
37,BLUSTR,467.925000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
38,BRNDPX,469.500000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
39,YLWDPX,469.550000,,0.000000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
