Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SETLSA,003.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
2,SETLSB,007.135000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
3,SETUSC,014.135000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
4,SETUSD,018.135000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
5,SETUSE,021.135000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
6,SETUSF,028.235000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
7,SETCWG,003.535000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
8,SETCWH,007.035000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
9,SETCWI,014.035000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
10,SETCWJ,018.075000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
11,SETCWK,021.035000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
12,SETCWL,028.035000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
13,SETDGM,003.596000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
14,SETDGN,007.096000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
15,SETDGO,014.096000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
16,SETDGP,018.096000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
17,SETDGQ,021.096000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
18,SETDGR,028.096000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,
