Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,????,155.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.950000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,155.975000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.900000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.950000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,157.975000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.000000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.025000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.050000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.075000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.125000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.150000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.175000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.225000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.250000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.275000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.325000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.350000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.375000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
,????,158.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
