Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,146.415 FM,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,146.430 FM,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,146.445 FM,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,146.460 FM,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,146.475 FM,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,146.490 FM,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,146.505 FM,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,146.520 FM,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,146.535 FM,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,146.550 FM,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,146.565 FM,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,146.580 FM,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,146.595 FM,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,147.420 FM,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,147.450 FM,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,147.480 FM,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,147.510 FM,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,147.540 FM,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,147.570 FM,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,446.000 FM,446.000000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
21,446.012 FM,446.012500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
22,446.025 FM,446.025000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
23,446.037 FM,446.037500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
24,446.050 FM,446.050000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
25,446.062 FM,446.062500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
26,446.075 FM,446.075000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
27,446.087 FM,446.087500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
28,446.100 FM,446.100000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
29,446.112 FM,446.112500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
30,446.125 FM,446.125000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
31,446.137 FM,446.137500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
32,446.150 FM,446.150000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
33,446.162 FM,446.162500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
34,446.175 FM,446.175000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
35,145.510 TS1,145.510000,,0.000000,,88.5,88.5,023,NN,DMR,5.00,,ColorCode: 1;RepeaterSlot: 1,,,,
36,145.790 TS1,145.790000,,0.000000,,88.5,88.5,023,NN,DMR,5.00,,ColorCode: 1;RepeaterSlot: 1,,,,
37,433.450 TS1,433.450000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,ColorCode: 1;RepeaterSlot: 1,,,,
38,441.000 TS1,441.000000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,ColorCode: 1;RepeaterSlot: 1,,,,
39,446.075 TS1,446.075000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,ColorCode: 1;RepeaterSlot: 1,,,,
40,446.500 TS1,446.500000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,ColorCode: 1;RepeaterSlot: 1,,,,
