Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,146.415 ASimplex,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,146.430 ASimplex,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,146.445 ASimplex,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,146.460 ASimplex,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,146.475 ASimplex,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,146.490 ASimplex,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,146.505 ASimplex,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,146.520 ASimplex,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,146.535 ASimplex,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,146.550 ASimplex,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,146.565 ASimplex,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,146.580 ASimplex,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,146.595 ASimplex,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,147.420 ASimplex,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,147.450 ASimplex,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,147.480 ASimplex,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,147.510 ASimplex,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,147.540 ASimplex,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,147.570 ASimplex,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,446.000 ASimplex,446.000000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
21,446.012 ASimplex,446.012500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
22,446.025 ASimplex,446.025000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
23,446.037 ASimplex,446.037500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
24,446.050 ASimplex,446.050000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
25,446.062 ASimplex,446.062500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
26,446.075 ASimplex,446.075000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
27,446.087 ASimplex,446.087500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
28,446.100 ASimplex,446.100000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
29,446.112 ASimplex,446.112500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
30,446.125 ASimplex,446.125000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
31,446.137 ASimplex,446.137500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
32,446.150 ASimplex,446.150000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
33,446.162 ASimplex,446.162500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
34,446.175 ASimplex,446.175000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
35,145.510 DSimplex,145.510000,,0.000000,,88.5,88.5,023,NN,DMR,5.00,,,,,,
36,145.790 DSimplex,145.790000,,0.000000,,88.5,88.5,023,NN,DMR,5.00,,,,,,
37,433.450 DSimplex,433.450000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
38,441.000 DSimplex,441.000000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
39,446.075 DSimplex,446.075000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
40,446.500 DSimplex,446.500000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
41,445.800 DSimplex,445.800000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
42,445.825 DSimplex,445.825000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
43,445.850 DSimplex,445.850000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
44,445.875 DSimplex,445.875000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
45,445.900 DSimplex,445.900000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
46,445.925 DSimplex,445.925000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
47,445.950 DSimplex,445.950000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
48,445.975 DSimplex,445.975000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
49,446.800 DSimplex,446.800000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
50,446.825 DSimplex,446.825000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
51,446.850 DSimplex,446.850000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
52,446.875 DSimplex,446.875000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
53,446.900 DSimplex,446.900000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
54,446.925 DSimplex,446.925000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
55,446.950 DSimplex,446.950000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
56,446.975 DSimplex,446.975000,,0.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
