Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M21B,,,,
2,WX11,161.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M23B,,,,
3,WX13,161.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M27B/ASM1,,,,
4,WX12,162.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M28B/ASM2,,,,
5,WX2/P1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M36A,,,,
6,WX5/P3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M37B,,,,
7,WX6/P5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M38B,,,,
8,WX1/P7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M39B,,,,
9,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M83B,,,,
10,WX4/P2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M96B,,,,
11,WX3/P4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M97B,,,,
12,WX7/P6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M98B,,,,
13,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,M113B,,,,
