Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL
1,GMRS01,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
2,GMRS02,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
3,GMRS03,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
4,GMRS04,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
5,GMRS05,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
6,GMRS06,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
7,GMRS07,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
8,GMRS08,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
9,GMRS09,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
10,GMRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
11,GMRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
12,GMRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
13,GMRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
14,GMRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,S,,0,,,,
15,GMRS15,462.550000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
16,GMRS16,462.575000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
17,GMRS17,462.600000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
18,GMRS18,462.625000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
19,GMRS19,462.650000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
20,GMRS20,462.675000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
21,GMRS21,462.700000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
22,GMRS22,462.725000,,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
23,US15R,467.550000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
24,US16R,467.575000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
25,US17R,467.600000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
26,US18R,467.625000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
27,US19R,467.650000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
28,US20R,467.675000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
29,US21R,467.700000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,0,,,,
