Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL
1,VE3ORF,146.850000,-,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,,,,,,,
2,VE3ORF,444.550000,+,5.000000,Tone,151.4,151.4,023,NN,FM,12.50,,,,,,,
3,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,,
4,VE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,,,,,,,
5,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,,
6,VE3TEL,147.030000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,,
7,VE3MPC,147.150000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,,
8,VE3MPC,444.400000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,,
9,VA3LCC,146.790000,-,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,,,,,,,
10,VE2RAO,146.745000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,,
11,VE3KJG,146.640000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,,
12,VA3TEL,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,,
