Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL
1,WX01,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
2,WX02,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
3,WX03,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
4,WX04,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
5,WX05,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
6,WX06,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
7,WX07,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
8,WX08,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
9,WX09,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
10,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
