Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3OCE,146.880000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
2,VA3OFS,146.670000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
3,A3EMVE,146.985000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
4,A3EMVW,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,
5,A3EMVP,145.110000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
6,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
7,146415,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,146430,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,146445,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,146460,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
11,146475,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
12,146490,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
13,146505,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
14,CALL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
15,146535,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
16,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
17,146565,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
18,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
19,146595,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
20,147420,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
21,147450,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
22,147480,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
23,147510,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
24,147540,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
25,147570,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
26,VE3KAR,147.090000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
27,VE3KJG,146.640000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
28,A3EMVW,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,
29,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
30,VE3KJG,146.640000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,
31,VA3TEL,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
32,VE3FRG,146.805000,-,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,S,,,,
