Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
2,VE3OCE,443.800000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,,
4,VA3OFS,444.950000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,,
9,VE2CRA,443.300000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
11,VE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
13,VE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
15,VE3ORF,444.550000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
17,VE2RAO,443.950000,+,5.000000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
35,VE3WPO,442.400000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,VE3REX,442.200000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,VE3FRG,445.137500,+,5.000000,TSQL,203.5,203.5,023,NN,FM,5.00,S,,,,,
47,VE3MXR,444.975000,+,5.000000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
70,CALL70,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,446012,446.012500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,446025,446.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,446037,446.037500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,446050,446.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,446062,446.062500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,446075,446.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,446087,446.087500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,446100,446.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,446112,446.112500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,446125,446.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,446137,446.137500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,446150,446.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,446162,446.162500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,446175,446.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
102,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
103,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
104,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
105,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
106,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
107,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
108,GMRS08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
109,GMRS09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
110,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
111,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
112,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
113,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
114,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
115,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
116,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
117,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
118,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
119,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
120,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
121,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
122,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
