Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3OCE,146.880000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
2,U-VE3OCE,443.800000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,12.50,S,,,,
3,VA3OFS,146.670000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
4,U-VA3OFS,444.950000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,12.50,S,,,,
5,VA3EMV/E,146.985000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
6,VA3EMV/W,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,
7,VA3EMV/P,145.110000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
8,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
9,U-VE2CRA,443.300000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,S,,,,
10,VE3MPC,147.150000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
11,U-VE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,S,,,,
12,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
13,U-VE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,S,,,,
14,VE3ORF,146.850000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
15,U-VE3ORF,444.550000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,12.50,S,,,,
16,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
17,VE3TEL,147.030000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
18,VA3LCC,146.790000,-,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,S,,,,
21,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
22,VE2RBH,145.410000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,
23,VE2RM,147.000000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
24,VE3OJN,145.370000,-,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,S,,,,
25,VE2KPG,147.360000,+,0.600000,Tone,203.5,203.5,023,NN,FM,5.00,S,,,,
26,SWEEP,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
27,INTRACP,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
29,VE3KJG,146.640000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
30,VE3LCA,146.995000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
34,VA3EMV/W,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,
35,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
36,VE3KJG,146.640000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,
37,VA3TEL,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
38,U-VE3WPO,442.400000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
39,U-VE3REX,442.200000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
40,VE3FRG,146.805000,-,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,S,,,,
41,U-VE3FRG,445.137500,,0.000000,TSQL,203.5,203.5,023,NN,FM,12.50,S,,,,
43,VE3FOY,147.285000,+,0.600000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,
44,VE3BNI,146.610000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
45,VE3WPR,147.000000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
46,VA3PLA,147.180000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,
51,146415,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
52,146430,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
53,146445,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
54,146460,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
55,146475,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
56,146490,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
57,146505,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
58,CALL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
59,146535,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
60,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
61,146565,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
62,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
63,146595,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
64,147420,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
65,147450,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
66,147480,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
67,147510,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
68,147540,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
69,147570,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
70,CALL70,446.000000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
71,446012,446.012500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
72,446025,446.025000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
73,446037,446.037500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
74,446050,446.050000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
75,446062,446.062500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
76,446075,446.075000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
77,446087,446.087500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
78,446100,446.100000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
79,446112,446.112500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
80,446125,446.125000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
81,446137,446.137500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
82,446150,446.150000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
83,446162,446.162500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
84,446175,446.175000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
85,ISSDOWN,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
86,ISSUP,437.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
87,ISSPKT,145.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
88,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
89,EMRGPKT,145.030000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
90,ALTPKT,144.990000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
91,WX01,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
92,WX02,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
93,WX03,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
94,WX04,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
95,WX05,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
96,WX06,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
97,WX07,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
98,WX08,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
99,WX09,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
100,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,
101,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
102,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
103,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
104,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
105,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
106,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
107,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
108,GMRS08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
109,GMRS09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
110,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
111,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
112,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
113,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
114,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,,,,
115,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
116,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
117,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
118,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
119,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
120,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
121,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
122,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
123,GMRS15R,467.550000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
124,GMRS16R,467.575000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
125,GMRS17R,467.600000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
126,GMRS18R,467.625000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
127,GMRS19R,467.650000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
128,GMRS20R,467.675000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
129,GMRS21R,467.700000,-,5.000000,,88.5,88.5,023,NN,FM,12.50,S,,,,
131,PSET-A,003.675000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
132,PSET-B,007.135000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,S,,,,
133,PSET-C,014.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
134,PSET-D,018.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
135,PSET-E,021.135000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
136,PSET-F,028.235000,,0.000000,,88.5,88.5,023,NN,USB,5.00,S,,,,
137,CSET-G,003.535000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
138,CSET-H,007.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
139,CSET-I,014.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
140,CSET-J,018.075000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
141,CSET-K,021.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
142,CSET-L,028.035000,,0.000000,,88.5,88.5,023,NN,CW,5.00,S,,,,
143,DSET-M,003.596000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
144,DSET-N,007.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
145,DSET-O,014.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
146,DSET-P,018.096000,,0.000000,,88.5,88.5,023,NN,DIG,5.00,S,,,,
