Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,VE3OCE AltaVist,146.880000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,Alta Vista OFS35,,,,
2,UVE3OCE AltaVist,443.800000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,6.25,,Alta Vista OFS35,,,,
3,VA3OFS Barrhavn,146.670000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,Barrhaven OFS44,,,,
4,UVA3OFS Barrhavn,444.950000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,6.25,,Barrhaven OFS44,,,,
5,VA3EMV/E Orleans,146.985000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,Orleans OFS53,,,,
6,VA3EMV/W Stittsv,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,Stittsville OFS81,,,,
7,VA3EMV/P Portabl,145.110000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,Portable,,,,
8,VE2CRA CampFort,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,Camp Fortune IRLP2040,,,,
9,UVE2CRA CampFort,443.300000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,,Camp Fortune IRLP2040,,,,
10,UVE2CRA CampFort,444.400000,+,5.000000,,88.5,88.5,023,NN,DMR,6.25,,Camp Fortune MMDVM302093,,,,
