Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3KJG,146.640000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,Lavant,,,
2,VA3TEL,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,Christie Lake,,,
3,VE3LCA,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,Perth,,,
4,VE3RLR,147.210000,+,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,Smiths Falls,,,
5,UVE3REX,442.200000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,S,Rideau Ferry,,,
6,VE3HTN,146.865000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,Toledo,,,
7,UVE3WPO,444.400000,+,5.000000,,88.5,88.5,023,NN,FM,6.25,S,Westport,,,
8,UVA3AAR,444.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,S,Almonte,,,
9,VA3ARE,147.270000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,Almonte,,,
10,VE3RNU,145.370000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,Tweed,,,
