Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,VE3KJG Lavant,146.640000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Lavant,,,,
2,VA3TEL ChrstLake,145.230000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Christie Lake,,,,
3,VE3LCA Perth,146.955000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Perth,,,,
4,UVE3REX RidFerry,442.200000,+,5.000000,Tone,100.0,118.8,023,NN,FM,6.25,,Rideau Ferry,,,,
5,UVE3WPO Westport,442.400000,+,5.000000,Tone,118.8,118.8,023,NN,FM,6.25,,Westport,,,,
6,VE3HTN Toledo,146.865000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Toledo,,,,
7,VE3RNU Tweed,145.370000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Tweed,,,,
8,UVA3AAR AlmonteF,444.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Almonte Fire Hall,,,,
9,VA3ARE Almonte,147.270000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Almonte,,,,
10,VE3RLR SmthFals,147.210000,+,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,,Smiths Falls,,,,
11,UVE3RLR SmthFals,442.750000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,6.25,,Smiths Falls,,,,
