Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,VE3MPC,147.150000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,Orleans,,,,
2,UVE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,,Orleans,,,,
3,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,Orleans,,,,
4,UVE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,,Orleans,,,,
5,UVE3RAM,443.700000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,,Orleans,,,,
6,VE3ORF,146.850000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
7,UVE3ORF,444.550000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,6.25,,,,,,
8,VE2RAO,146.745000,-,0.600000,TSQL,118.8,118.8,023,NN,FM,5.00,,,,,,
9,UVE2RAO,443.950000,+,5.000000,TSQL,118.8,118.8,023,NN,FM,6.25,,,,,,
10,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
11,VE3TEL,147.030000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
12,VA3LCC,146.790000,-,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,,,,,,
13,UVE2RAO,441.950000,+,5.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
14,UVE2REH,442.550000,+,5.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
15,UVE2REH,442.650000,+,5.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
16,UVE2REH,444.150000,+,5.000000,,88.5,88.5,023,NN,DMR,6.25,,,,,,
