Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VA3OTW,145.190000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,WESTPT,145.230000,-,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
3,PKHAM,145.330000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
4,IROQUS,145.290000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
5,VA3PRA,145.470000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,SMFLS2,147.210000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
7,SMFLS1,146.775000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,FOYMNT,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,ALFRED,145.470000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,FRNKTN,147.240000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
11,PERTH,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,BARBAY,146.970000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,MORBRG,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
14,VA3ODG,145.530000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,VE3YYS,145.690000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,PEMBRK,146.760000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
17,LACHUT,146.805000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,KEMPVL,146.850000,-,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
19,RENFRW,146.910000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
